observed,predicted,low,high,anomalous,err,threshold
756.0829987239838,755.4932994861603,,,,,
755.1599987583161,755.5505651874543,,,,,
754.685001285553,754.4886660079957,,,,,
754.1399997806549,753.9041493759155,,,,,
753.816000246048,753.7222680091858,,,,,
753.1379994487762,753.5433933906555,,,,,
752.9499999771118,753.1475546913147,,,,,
752.9799987163544,753.0401994342805,,,,,
753.0159989967347,753.3119365444184,,,,,
753.5719993419648,753.4263065509797,,,,,
754.1919991893768,753.9280389766693,,,,,
754.6589985923767,754.6891916046143,,,,,
755.2880007514954,755.0782307491303,,,,,
755.883,755.6464942035675,747.1220142035676,764.1709742035675,False,2.2245677083923025e-05,0.17
756.448,756.6570335807801,748.13255358078,765.18151358078,False,1.7377775035076525e-05,0.17
757.108,757.0697710418701,748.5452910418701,765.5942510418702,False,5.812285982081774e-07,0.17
757.497,758.006549446106,749.4820694461059,766.531029446106,False,0.00010326061756871963,0.17
757.675,757.970599975586,749.4461199755859,766.495079975586,False,3.4751282597776716e-05,0.17
758.14,757.5839967155457,749.0595167155457,766.1084767155456,False,0.00012294666835104343,0.17
758.091,758.7701469249726,750.2456669249725,767.2946269249726,False,0.0001834380933532293,0.17
757.93,758.0267598152161,749.5022798152161,766.551239815216,False,3.7235064548325677e-06,0.17
757.543,757.221262134552,748.696782134552,765.7457421345521,False,4.1168628853936605e-05,0.17
756.84,756.8585484752655,748.3340684752656,765.3830284752655,False,1.3682910331940923e-07,0.17
756.387,755.6917359008789,747.1672559008789,764.216215900879,False,0.00019224792438498234,0.17
755.983,755.7424680519105,747.2179880519104,764.2669480519104,False,2.3009521526528993e-05,0.17
755.329,755.7423933315278,747.2179133315277,764.2668733315277,False,6.796557318545684e-05,0.17
754.912,754.6350671482087,746.1105871482087,763.1595471482086,False,3.0500784257497793e-05,0.17
754.55,754.4880592784882,745.9635792784882,763.0125392784881,False,1.525859585258857e-06,0.17
753.997,754.4189339580536,745.8944539580536,762.9434139580536,False,7.08028940462978e-05,0.17
753.526,753.5756606407166,745.0511806407166,762.1001406407165,False,9.808140702452275e-07,0.17
753.371,753.1730731964111,744.6485931964112,761.6975531964111,False,1.5580137014464742e-05,0.17
753.396,753.4146651153565,744.8901851153564,761.9391451153565,False,1.3855538426160533e-07,0.17
753.626,753.5929419708252,745.0684619708252,762.1174219708253,False,4.3462626491773063e-07,0.17
753.764,753.9358248405457,745.4113448405457,762.4603048405456,False,1.1741780285947939e-05,0.17
754.023,753.9186182308197,745.3941382308197,762.4430982308197,False,4.333226170629773e-06,0.17
754.614,754.2140715904236,745.6895915904236,762.7385515904236,False,6.361017092182182e-05,0.17
755.089,755.3185763320923,746.7940963320923,763.8430563320923,False,2.0961206492742913e-05,0.17
755.725,755.6970081710815,747.1725281710816,764.2214881710815,False,3.116194815696482e-07,0.17
756.671,756.4036956176758,747.8792156176758,764.9281756176758,False,2.8416737018886148e-05,0.17
756.972,758.1275038127899,749.60302381279,766.6519838127899,False,0.0005310125876133946,0.17
757.882,757.413882314682,748.889402314682,765.9383623146821,False,8.715095455982057e-05,0.17
758.501,758.9115836429596,750.3871036429596,767.4360636429597,False,6.70448367898005e-05,0.17
758.843,759.8087871437073,751.2843071437073,768.3332671437073,False,0.00037095812709300394,0.17
759.048,758.9690824718475,750.4446024718476,767.4935624718476,False,2.476902994205899e-06,0.17
759.132,759.0716436691284,750.5471636691284,767.5961236691285,False,1.4487975795436912e-06,0.17
758.852,759.1046222572327,750.5801422572326,767.6291022572327,False,2.5380798024626667e-05,0.17
758.261,758.1515308990479,749.6270508990478,766.6760108990479,False,4.765902496621584e-06,0.17
757.492,757.0257308483124,748.5012508483123,765.5502108483124,False,8.64640188106696e-05,0.17
756.908,756.1995774650574,747.6750974650574,764.7240574650574,False,0.00019959368009862273,0.17
756.182,756.1375715026855,747.6130915026856,764.6620515026856,False,7.850282752441065e-07,0.17
755.4,755.4666691417694,746.9421891417694,763.9911491417695,False,1.767713096156906e-06,0.17
754.691,754.5283455200196,746.0038655200195,763.0528255200195,False,1.0521898534692719e-05,0.17
754.093,754.1082017745972,745.5837217745972,762.6326817745972,False,9.190743124103398e-08,0.17
753.456,753.726942516327,745.2024625163269,762.2514225163269,False,2.919553044664239e-05,0.17
753.161,753.1178817329406,744.5934017329407,761.6423617329407,False,7.394088537268187e-07,0.17
752.761,753.0925485343934,744.5680685343933,761.6170285343933,False,4.3717596297451115e-05,0.17
752.64,752.6800979995728,744.1556179995728,761.2045779995727,False,6.394512846315555e-07,0.17
753.041,752.6117378158569,744.0872578158569,761.136217815857,False,7.32836872115685e-05,0.17
753.14,753.5054802684784,744.9810002684784,762.0299602684784,False,5.312389638480325e-05,0.17
753.649,753.3276218471527,744.8031418471527,761.8521018471528,False,4.107662478628381e-05,0.17
754.263,753.9637732524872,745.4392932524872,762.4882532524872,False,3.560925391091988e-05,0.17
754.993,755.0207408866883,746.4962608866882,763.5452208866883,False,3.060572891519265e-07,0.17
755.706,755.7704194526673,747.2459394526672,764.2948994526672,False,1.650426208522389e-06,0.17
756.428,756.5208930435181,747.996413043518,765.0453730435181,False,3.4318510862193785e-06,0.17
757.367,757.2542945213318,748.7298145213318,765.7787745213318,False,5.051869299338246e-06,0.17
758.102,758.7526354560853,750.2281554560852,767.2771154560852,False,0.00016835945180308218,0.17
758.574,759.2328304786682,750.7083504786682,767.7573104786683,False,0.00017262727490578337,0.17
759.061,758.9601369476319,750.4356569476319,767.4846169476318,False,4.046003593340504e-06,0.17
759.539,759.602367603302,751.077887603302,768.126847603302,False,1.5969694692511616e-06,0.17
759.451,760.281390575409,751.7569105754089,768.8058705754089,False,0.0002742375203383537,0.17
759.097,759.0448041076661,750.520324107666,767.569284107666,False,1.0835144403360573e-06,0.17
758.693,757.9954131202697,749.4709331202698,766.5198931202698,False,0.00019353461725973313,0.17
757.98,757.8656955471039,749.341215547104,766.3901755471039,False,5.196229797509851e-06,0.17
757.178,756.8620663108826,748.3375863108826,765.3865463108826,False,3.969665636711301e-05,0.17
756.461,755.927971862793,747.403491862793,764.4524518627929,False,0.0001129958049528227,0.17
755.606,755.6154792671203,747.0909992671204,764.1399592671204,False,3.573646361292307e-08,0.17
754.806,754.7540518856049,746.2295718856049,763.2785318856049,False,1.073251803318319e-06,0.17
754.326,754.0842583751679,745.5597783751679,762.6087383751678,False,2.3241541218538176e-05,0.17
753.623,754.1007626132965,745.5762826132965,762.6252426132966,False,9.077920468751858e-05,0.17
753.052,753.2683685836793,744.7438885836792,761.7928485836792,False,1.8618747186207858e-05,0.17
752.866,752.7136833171845,744.1892033171845,761.2381633171844,False,9.226925125041253e-06,0.17
752.898,752.9362245273591,744.411744527359,761.460704527359,False,5.810938761758279e-07,0.17
753.228,753.107692861557,744.5832128615571,761.632172861557,False,5.75631888215719e-06,0.17
753.604,753.6010595932007,745.0765795932007,762.1255395932008,False,3.4385622190441805e-09,0.17
754.246,753.9959777374268,745.4714977374268,762.5204577374268,False,2.4861046875419905e-05,0.17
754.859,754.8694201564789,746.3449401564789,763.3939001564789,False,4.318277346726286e-08,0.17
755.572,755.5534314613343,747.0289514613343,764.0779114613342,False,1.3712527233211628e-07,0.17
756.481,756.3388652248383,747.8143852248382,764.8633452248383,False,8.03457194773612e-06,0.17
757.015,757.7415820026398,749.2171020026398,766.2660620026398,False,0.00020995746614780827,0.17
757.734,757.6744711437226,749.1499911437226,766.1989511437225,False,1.4093443785954034e-06,0.17
