observed,predicted,low,high,anomalous,err,threshold
756.0829987239838,755.4932994861603,,,,,
755.1599987583161,755.5505651874543,,,,,
754.685001285553,754.4886660079957,,,,,
754.1399997806549,753.9041493759155,,,,,
753.816000246048,753.7222680091858,,,,,
753.1379994487762,753.5433933906555,,,,,
752.9499999771118,753.1475546913147,,,,,
752.9799987163544,753.0401994342805,,,,,
753.0159989967347,753.3119365444184,,,,,
753.5719993419648,753.4263065509797,,,,,
754.1919991893768,753.9280389766693,,,,,
754.6589985923767,754.6891916046143,,,,,
755.2880007514954,755.0782307491303,,,,,
755.883,755.6464942035675,748.6263342035675,762.6666542035675,False,2.2245677083923025e-05,0.14
756.448,756.6570335807801,749.63687358078,763.67719358078,False,1.7377775035076525e-05,0.14
757.108,757.0697710418701,750.0496110418701,764.0899310418702,False,5.812285982081774e-07,0.14
757.497,758.006549446106,750.9863894461059,765.026709446106,False,0.00010326061756871963,0.14
757.675,757.970599975586,750.9504399755859,764.990759975586,False,3.4751282597776716e-05,0.14
758.14,757.5839967155457,750.5638367155457,764.6041567155457,False,0.00012294666835104343,0.14
758.091,758.7701469249726,751.7499869249725,765.7903069249726,False,0.0001834380933532293,0.14
757.93,758.0267598152161,751.0065998152161,765.0469198152161,False,3.7235064548325677e-06,0.14
757.543,757.221262134552,750.201102134552,764.2414221345521,False,4.1168628853936605e-05,0.14
756.84,756.8585484752655,749.8383884752656,763.8787084752655,False,1.3682910331940923e-07,0.14
756.387,755.6917359008789,748.6715759008789,762.711895900879,False,0.00019224792438498234,0.14
755.983,755.7424680519105,748.7223080519104,762.7626280519104,False,2.3009521526528993e-05,0.14
755.329,755.7423933315278,748.7222333315277,762.7625533315278,False,6.796557318545684e-05,0.14
754.912,754.6350671482087,747.6149071482087,761.6552271482086,False,3.0500784257497793e-05,0.14
754.55,754.4880592784882,747.4678992784882,761.5082192784882,False,1.525859585258857e-06,0.14
753.997,754.4189339580536,747.3987739580537,761.4390939580536,False,7.08028940462978e-05,0.14
753.526,753.5756606407166,746.5555006407166,760.5958206407166,False,9.808140702452275e-07,0.14
753.371,753.1730731964111,746.1529131964112,760.1932331964111,False,1.5580137014464742e-05,0.14
753.396,753.4146651153565,746.3945051153564,760.4348251153565,False,1.3855538426160533e-07,0.14
753.626,753.5929419708252,746.5727819708252,760.6131019708253,False,4.3462626491773063e-07,0.14
753.764,753.9358248405457,746.9156648405457,760.9559848405456,False,1.1741780285947939e-05,0.14
754.023,753.9186182308197,746.8984582308198,760.9387782308197,False,4.333226170629773e-06,0.14
754.614,754.2140715904236,747.1939115904236,761.2342315904236,False,6.361017092182182e-05,0.14
755.089,755.3185763320923,748.2984163320923,762.3387363320924,False,2.0961206492742913e-05,0.14
755.725,755.6970081710815,748.6768481710816,762.7171681710815,False,3.116194815696482e-07,0.14
756.671,756.4036956176758,749.3835356176758,763.4238556176758,False,2.8416737018886148e-05,0.14
756.972,758.1275038127899,751.10734381279,765.1476638127899,False,0.0005310125876133946,0.14
757.882,757.413882314682,750.393722314682,764.4340423146821,False,8.715095455982057e-05,0.14
758.501,758.9115836429596,751.8914236429596,765.9317436429596,False,6.70448367898005e-05,0.14
758.843,759.8087871437073,752.7886271437073,766.8289471437073,False,0.00037095812709300394,0.14
759.048,758.9690824718475,751.9489224718476,765.9892424718475,False,2.476902994205899e-06,0.14
759.132,759.0716436691284,752.0514836691284,766.0918036691285,False,1.4487975795436912e-06,0.14
758.852,759.1046222572327,752.0844622572326,766.1247822572327,False,2.5380798024626667e-05,0.14
758.261,758.1515308990479,751.1313708990479,765.1716908990479,False,4.765902496621584e-06,0.14
757.492,757.0257308483124,750.0055708483123,764.0458908483124,False,8.64640188106696e-05,0.14
756.908,756.1995774650574,749.1794174650574,763.2197374650574,False,0.00019959368009862273,0.14
756.182,756.1375715026855,749.1174115026855,763.1577315026856,False,7.850282752441065e-07,0.14
755.4,755.4666691417694,748.4465091417694,762.4868291417695,False,1.767713096156906e-06,0.14
754.691,754.5283455200196,747.5081855200195,761.5485055200196,False,1.0521898534692719e-05,0.14
754.093,754.1082017745972,747.0880417745972,761.1283617745972,False,9.190743124103398e-08,0.14
753.456,753.726942516327,746.7067825163269,760.7471025163269,False,2.919553044664239e-05,0.14
753.161,753.1178817329406,746.0977217329407,760.1380417329407,False,7.394088537268187e-07,0.14
752.761,753.0925485343934,746.0723885343933,760.1127085343933,False,4.3717596297451115e-05,0.14
752.64,752.6800979995728,745.6599379995728,759.7002579995727,False,6.394512846315555e-07,0.14
753.041,752.6117378158569,745.5915778158569,759.631897815857,False,7.32836872115685e-05,0.14
753.14,753.5054802684784,746.4853202684784,760.5256402684785,False,5.312389638480325e-05,0.14
753.649,753.3276218471527,746.3074618471527,760.3477818471528,False,4.107662478628381e-05,0.14
754.263,753.9637732524872,746.9436132524872,760.9839332524872,False,3.560925391091988e-05,0.14
754.993,755.0207408866883,748.0005808866882,762.0409008866883,False,3.060572891519265e-07,0.14
755.706,755.7704194526673,748.7502594526673,762.7905794526673,False,1.650426208522389e-06,0.14
756.428,756.5208930435181,749.500733043518,763.5410530435181,False,3.4318510862193785e-06,0.14
757.367,757.2542945213318,750.2341345213318,764.2744545213318,False,5.051869299338246e-06,0.14
758.102,758.7526354560853,751.7324754560852,765.7727954560852,False,0.00016835945180308218,0.14
758.574,759.2328304786682,752.2126704786682,766.2529904786683,False,0.00017262727490578337,0.14
759.061,758.9601369476319,751.9399769476319,765.9802969476318,False,4.046003593340504e-06,0.14
759.539,759.602367603302,752.582207603302,766.622527603302,False,1.5969694692511616e-06,0.14
759.451,760.281390575409,753.261230575409,767.301550575409,False,0.0002742375203383537,0.14
759.097,759.0448041076661,752.0246441076661,766.064964107666,False,1.0835144403360573e-06,0.14
758.693,757.9954131202697,750.9752531202698,765.0155731202698,False,0.00019353461725973313,0.14
757.98,757.8656955471039,750.8455355471039,764.8858555471039,False,5.196229797509851e-06,0.14
757.178,756.8620663108826,749.8419063108826,763.8822263108826,False,3.969665636711301e-05,0.14
756.461,755.927971862793,748.907811862793,762.9481318627929,False,0.0001129958049528227,0.14
755.606,755.6154792671203,748.5953192671204,762.6356392671204,False,3.573646361292307e-08,0.14
754.806,754.7540518856049,747.7338918856049,761.7742118856049,False,1.073251803318319e-06,0.14
754.326,754.0842583751679,747.0640983751679,761.1044183751678,False,2.3241541218538176e-05,0.14
753.623,754.1007626132965,747.0806026132965,761.1209226132966,False,9.077920468751858e-05,0.14
753.052,753.2683685836793,746.2482085836792,760.2885285836792,False,1.8618747186207858e-05,0.14
752.866,752.7136833171845,745.6935233171845,759.7338433171844,False,9.226925125041253e-06,0.14
752.898,752.9362245273591,745.916064527359,759.956384527359,False,5.810938761758279e-07,0.14
753.228,753.107692861557,746.0875328615571,760.127852861557,False,5.75631888215719e-06,0.14
753.604,753.6010595932007,746.5808995932007,760.6212195932007,False,3.4385622190441805e-09,0.14
754.246,753.9959777374268,746.9758177374267,761.0161377374268,False,2.4861046875419905e-05,0.14
754.859,754.8694201564789,747.8492601564789,761.8895801564789,False,4.318277346726286e-08,0.14
755.572,755.5534314613343,748.5332714613343,762.5735914613342,False,1.3712527233211628e-07,0.14
756.481,756.3388652248383,749.3187052248383,763.3590252248383,False,8.03457194773612e-06,0.14
757.015,757.7415820026398,750.7214220026398,764.7617420026398,False,0.00020995746614780827,0.14
757.734,757.6744711437226,750.6543111437226,764.6946311437225,False,1.4093443785954034e-06,0.14
