observed,predicted,low,high,anomalous,err,threshold
756.0829987239838,755.4932994861603,,,,,
755.1599987583161,755.5505651874543,,,,,
754.685001285553,754.4886660079957,,,,,
754.1399997806549,753.9041493759155,,,,,
753.816000246048,753.7222680091858,,,,,
753.1379994487762,753.5433933906555,,,,,
752.9499999771118,753.1475546913147,,,,,
752.9799987163544,753.0401994342805,,,,,
753.0159989967347,753.3119365444184,,,,,
753.5719993419648,753.4263065509797,,,,,
754.1919991893768,753.9280389766693,,,,,
754.6589985923767,754.6891916046143,,,,,
755.2880007514954,755.0782307491303,,,,,
755.883,755.6464942035675,749.6292142035675,761.6637742035675,False,2.2245677083923025e-05,0.12
756.448,756.6570335807801,750.63975358078,762.6743135807801,False,1.7377775035076525e-05,0.12
757.108,757.0697710418701,751.0524910418701,763.0870510418702,False,5.812285982081774e-07,0.12
757.497,758.006549446106,751.9892694461059,764.023829446106,False,0.00010326061756871963,0.12
757.675,757.970599975586,751.9533199755859,763.987879975586,False,3.4751282597776716e-05,0.12
758.14,757.5839967155457,751.5667167155457,763.6012767155456,False,0.00012294666835104343,0.12
758.091,758.7701469249726,752.7528669249725,764.7874269249726,False,0.0001834380933532293,0.12
757.93,758.0267598152161,752.0094798152161,764.0440398152161,False,3.7235064548325677e-06,0.12
757.543,757.221262134552,751.203982134552,763.2385421345521,False,4.1168628853936605e-05,0.12
756.84,756.8585484752655,750.8412684752656,762.8758284752655,False,1.3682910331940923e-07,0.12
756.387,755.6917359008789,749.6744559008789,761.709015900879,False,0.00019224792438498234,0.12
755.983,755.7424680519105,749.7251880519104,761.7597480519104,False,2.3009521526528993e-05,0.12
755.329,755.7423933315278,749.7251133315277,761.7596733315278,False,6.796557318545684e-05,0.12
754.912,754.6350671482087,748.6177871482087,760.6523471482086,False,3.0500784257497793e-05,0.12
754.55,754.4880592784882,748.4707792784882,760.5053392784882,False,1.525859585258857e-06,0.12
753.997,754.4189339580536,748.4016539580537,760.4362139580536,False,7.08028940462978e-05,0.12
753.526,753.5756606407166,747.5583806407166,759.5929406407166,False,9.808140702452275e-07,0.12
753.371,753.1730731964111,747.1557931964112,759.1903531964111,False,1.5580137014464742e-05,0.12
753.396,753.4146651153565,747.3973851153564,759.4319451153565,False,1.3855538426160533e-07,0.12
753.626,753.5929419708252,747.5756619708252,759.6102219708253,False,4.3462626491773063e-07,0.12
753.764,753.9358248405457,747.9185448405457,759.9531048405456,False,1.1741780285947939e-05,0.12
754.023,753.9186182308197,747.9013382308198,759.9358982308197,False,4.333226170629773e-06,0.12
754.614,754.2140715904236,748.1967915904236,760.2313515904236,False,6.361017092182182e-05,0.12
755.089,755.3185763320923,749.3012963320923,761.3358563320924,False,2.0961206492742913e-05,0.12
755.725,755.6970081710815,749.6797281710816,761.7142881710815,False,3.116194815696482e-07,0.12
756.671,756.4036956176758,750.3864156176758,762.4209756176758,False,2.8416737018886148e-05,0.12
756.972,758.1275038127899,752.11022381279,764.1447838127899,False,0.0005310125876133946,0.12
757.882,757.413882314682,751.396602314682,763.4311623146821,False,8.715095455982057e-05,0.12
758.501,758.9115836429596,752.8943036429596,764.9288636429596,False,6.70448367898005e-05,0.12
758.843,759.8087871437073,753.7915071437073,765.8260671437073,False,0.00037095812709300394,0.12
759.048,758.9690824718475,752.9518024718476,764.9863624718475,False,2.476902994205899e-06,0.12
759.132,759.0716436691284,753.0543636691284,765.0889236691285,False,1.4487975795436912e-06,0.12
758.852,759.1046222572327,753.0873422572326,765.1219022572327,False,2.5380798024626667e-05,0.12
758.261,758.1515308990479,752.1342508990479,764.1688108990479,False,4.765902496621584e-06,0.12
757.492,757.0257308483124,751.0084508483123,763.0430108483124,False,8.64640188106696e-05,0.12
756.908,756.1995774650574,750.1822974650574,762.2168574650574,False,0.00019959368009862273,0.12
756.182,756.1375715026855,750.1202915026855,762.1548515026856,False,7.850282752441065e-07,0.12
755.4,755.4666691417694,749.4493891417694,761.4839491417695,False,1.767713096156906e-06,0.12
754.691,754.5283455200196,748.5110655200195,760.5456255200196,False,1.0521898534692719e-05,0.12
754.093,754.1082017745972,748.0909217745972,760.1254817745972,False,9.190743124103398e-08,0.12
753.456,753.726942516327,747.709662516327,759.7442225163269,False,2.919553044664239e-05,0.12
753.161,753.1178817329406,747.1006017329407,759.1351617329407,False,7.394088537268187e-07,0.12
752.761,753.0925485343934,747.0752685343933,759.1098285343933,False,4.3717596297451115e-05,0.12
752.64,752.6800979995728,746.6628179995728,758.6973779995727,False,6.394512846315555e-07,0.12
753.041,752.6117378158569,746.5944578158569,758.629017815857,False,7.32836872115685e-05,0.12
753.14,753.5054802684784,747.4882002684784,759.5227602684785,False,5.312389638480325e-05,0.12
753.649,753.3276218471527,747.3103418471527,759.3449018471528,False,4.107662478628381e-05,0.12
754.263,753.9637732524872,747.9464932524872,759.9810532524872,False,3.560925391091988e-05,0.12
754.993,755.0207408866883,749.0034608866882,761.0380208866883,False,3.060572891519265e-07,0.12
755.706,755.7704194526673,749.7531394526673,761.7876994526673,False,1.650426208522389e-06,0.12
756.428,756.5208930435181,750.503613043518,762.5381730435181,False,3.4318510862193785e-06,0.12
757.367,757.2542945213318,751.2370145213318,763.2715745213318,False,5.051869299338246e-06,0.12
758.102,758.7526354560853,752.7353554560852,764.7699154560852,False,0.00016835945180308218,0.12
758.574,759.2328304786682,753.2155504786682,765.2501104786683,False,0.00017262727490578337,0.12
759.061,758.9601369476319,752.9428569476319,764.9774169476318,False,4.046003593340504e-06,0.12
759.539,759.602367603302,753.585087603302,765.619647603302,False,1.5969694692511616e-06,0.12
759.451,760.281390575409,754.264110575409,766.298670575409,False,0.0002742375203383537,0.12
759.097,759.0448041076661,753.0275241076661,765.062084107666,False,1.0835144403360573e-06,0.12
758.693,757.9954131202697,751.9781331202698,764.0126931202698,False,0.00019353461725973313,0.12
757.98,757.8656955471039,751.8484155471039,763.8829755471039,False,5.196229797509851e-06,0.12
757.178,756.8620663108826,750.8447863108826,762.8793463108826,False,3.969665636711301e-05,0.12
756.461,755.927971862793,749.910691862793,761.945251862793,False,0.0001129958049528227,0.12
755.606,755.6154792671203,749.5981992671204,761.6327592671204,False,3.573646361292307e-08,0.12
754.806,754.7540518856049,748.7367718856049,760.7713318856049,False,1.073251803318319e-06,0.12
754.326,754.0842583751679,748.0669783751679,760.1015383751678,False,2.3241541218538176e-05,0.12
753.623,754.1007626132965,748.0834826132965,760.1180426132966,False,9.077920468751858e-05,0.12
753.052,753.2683685836793,747.2510885836792,759.2856485836792,False,1.8618747186207858e-05,0.12
752.866,752.7136833171845,746.6964033171845,758.7309633171844,False,9.226925125041253e-06,0.12
752.898,752.9362245273591,746.918944527359,758.953504527359,False,5.810938761758279e-07,0.12
753.228,753.107692861557,747.0904128615571,759.124972861557,False,5.75631888215719e-06,0.12
753.604,753.6010595932007,747.5837795932007,759.6183395932007,False,3.4385622190441805e-09,0.12
754.246,753.9959777374268,747.9786977374267,760.0132577374268,False,2.4861046875419905e-05,0.12
754.859,754.8694201564789,748.8521401564789,760.8867001564789,False,4.318277346726286e-08,0.12
755.572,755.5534314613343,749.5361514613343,761.5707114613342,False,1.3712527233211628e-07,0.12
756.481,756.3388652248383,750.3215852248383,762.3561452248383,False,8.03457194773612e-06,0.12
757.015,757.7415820026398,751.7243020026398,763.7588620026398,False,0.00020995746614780827,0.12
757.734,757.6744711437226,751.6571911437226,763.6917511437225,False,1.4093443785954034e-06,0.12
